Time,Pre,Actual
2019/7/1,37.854725,39.6875
2019/7/2,33.157288,35.59375
2019/7/3,31.98416,32.03125
2019/7/4,30.865887,28.875
2019/7/5,25.228588,25.90625
2019/7/6,23.012568,23.1875
2019/7/7,20.169714,20.78125
2019/7/8,19.368006,21.8125
2019/7/9,25.24326,25.90625
2019/7/10,24.063826,25.46875
2019/7/11,21.996563,23.09375
2019/7/12,24.003138,23.90625
2019/7/13,22.438461,22.5
2019/7/14,20.072275,20.3125
2019/7/15,18.248816,18.375
2019/7/16,21.574944,20.5625
2019/7/17,26.949894,22.03125
2019/7/18,26.237871,27.53125
2019/7/19,31.22917,31.90625
2019/7/20,34.877922,32.0625
2019/7/21,30.050434,29.65625
2019/7/22,35.039856,34.65625
2019/7/23,33.57767,39.125
2019/7/24,32.93805,36.75
2019/7/25,31.98701,33.140625
2019/7/26,29.092558,29.9375
2019/7/27,28.571432,27.03125
2019/7/28,26.705961,25.28125
2019/7/29,26.915491,30.21875
2019/7/30,28.602959,31.234375
2019/7/31,26.610296,28.6875
2019/8/1,24.962736,26.1875
2019/8/2,24.452436,24.21875
2019/8/3,29.125954,35.125
2019/8/4,34.131523,37.75
2019/8/5,34.00269,35.140625
2019/8/6,35.022015,39.03125
2019/8/7,36.20219,37.8125
2019/8/8,32.021885,34.171875
2019/8/9,33.166805,33.265625
2019/8/10,30.268515,30.765625
2019/8/11,26.74201,27.6875
2019/8/12,24.175514,24.859375
2019/8/13,21.969429,22.328125
2019/8/14,19.386648,20.03125
2019/8/15,17.564432,17.96875
2019/8/16,15.381488,16.125
2019/8/17,13.799329,14.734375
2019/8/18,13.217351,13.515625
2019/8/19,12.988101,12.703125
2019/8/20,16.896973,12.3125
2019/8/21,20.639505,14.71875
2019/8/22,14.874838,15.15625
2019/8/23,17.008492,14.484375
2019/8/24,14.315162,14.09375
2019/8/25,13.332698,13.609375
2019/8/26,17.4028,17.171875
2019/8/27,20.940905,27.21875
2019/8/28,24.56496,27.90625
2019/8/29,25.099941,25.484375
2019/8/30,21.99348,22.9375
2019/8/31,20.81841,21.40625
2019/9/1,22.950808,25.71875
2019/9/2,27.629135,28.078125
2019/9/3,27.42134,26.578125
2019/9/4,30.77432,25.375
2019/9/5,26.791574,23.953125
2019/9/6,22.279314,22.09375
2019/9/7,21.527735,20.765625
2019/9/8,21.390463,19.8125
2019/9/9,22.390776,23.25
2019/9/10,31.133944,37.203125
2019/9/11,44.098637,51.03125
2019/9/12,57.520504,63.3125
2019/9/13,74.9429,97.53125
2019/9/14,108.49153,118.53125
2019/9/15,119.80465,121.9375
2019/9/16,110.57989,112.484375
2019/9/17,101.50138,104.15625
2019/9/18,96.07476,98.78125
2019/9/19,94.17786,98.796875
2019/9/20,88.327965,94.625
2019/9/21,81.33048,85.921875
2019/9/22,73.40487,77.25
2019/9/23,66.5549,69.453125
2019/9/24,60.46549,61.5
2019/9/25,53.71623,55.140625
2019/9/26,48.410664,49.734375
2019/9/27,44.52104,45.71875
2019/9/28,41.08419,41.640625
