Pre
6.883653672784564e-08
7.615123154819008e-08
7.136316402256487e-08
9.276802511587736e-08
6.464615558236835e-08
6.105080120936034e-08
1.1568243117108938e-07
1.3614787047579883e-07
9.39236488305032e-08
9.96345035076141e-08
1.282857800386846e-07
1.1881897904127834e-07
1.3002709772065278e-07
1.1154567738771437e-07
8.08677798055112e-08
7.038230071067808e-08
1.1064213612452148e-07
8.171745192408559e-08
7.660824886038897e-08
1.42068205524981e-07
1.1481955772712825e-07
1.2668077933937308e-07
1.5237868243455885e-07
1.3632374307811258e-07
1.0221470980793235e-07
1.2078795914053914e-07
7.683997322395441e-08
1.6845383480936287e-07
6.089978384971617e-08
7.693392990976569e-08
1.21956639111042e-07
9.89139916092157e-08
1.1128329500108955e-07
1.1978930063545703e-07
1.0421845823302863e-07
8.24078860774636e-08
4.937110991030929e-08
1.0069728273600337e-07
9.547013816088436e-08
1.173654792666435e-07
1.2679722179919478e-07
1.3903368987664578e-07
1.995728404141962e-07
2.0177364159002898e-07
1.6933469687253233e-07
1.8442516577169297e-07
1.754394636251032e-07
1.7208318380415436e-07
2.0096603962928053e-07
2.2695258269235488e-07
2.910595727525651e-07
3.60029534561932e-07
5.217868735775351e-07
5.398836662836372e-07
5.342696213260292e-07
6.483984158933161e-07
8.06166246677935e-07
9.632246875599026e-07
9.499817755803465e-07
8.753392574444413e-07
7.611797081410884e-07
7.361918235830961e-07
7.742113989144562e-07
9.0472057210505e-07
6.55499665108323e-07
5.33009112355858e-07
4.4791109615713345e-07
3.982890065059065e-07
3.7983031372949474e-07
2.848247753627598e-07
2.869894542306661e-07
3.3771895616278047e-07
2.6295404771715397e-07
4.195800847470759e-07
3.9831942274644964e-07
3.7152677677422755e-07
3.209289496004581e-07
3.3626830942183727e-07
3.4933641264215107e-07
2.871459358751773e-07
2.448833675228059e-07
2.2774122890383e-07
2.756583166070282e-07
2.7142325405254953e-07
3.424225448772311e-07
3.2935410316139453e-07
3.6159536649361245e-07
3.4802024533674113e-07
3.057035177007317e-07
3.075813941478729e-07
3.6216515117138616e-07
3.561036151327192e-07
3.3016455815583464e-07
3.1445411052852865e-07
5.472877722784875e-07
1.0700391741588711e-06
1.1848296791166066e-06
1.059625988036394e-06
9.497527591809629e-07
8.980548215582966e-07
7.351634741850196e-07
8.715134843334554e-07
1.1564950893253087e-06
1.552971606865525e-06
1.088665615645051e-06
1.0383431304007766e-06
