asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
298.696075,98.8334808,298.696075,0.0000401,0.000024,938.37,24.76,28.57,21.32,21.5,28.109375,58.375,70.140625,246.89062,358.0625,1071.1406
299.266632,84.0927353,299.266632,0.0000341,0.0000213,938.5,25.73,28.37,23.62,21.8,25.359375,52.46875,63.34375,238,354.65625,1090.3281
299.074982,55.9847755,299.074982,0.0000227,0.0000132,939.8,25.15,28.21,23.13,22.42,23.921875,49.171875,59.15625,225.71875,347.65625,1100.7188
299.535309,61.4810257,299.535309,0.0000249,0.0000121,939.44,25.02,27.39,23.25,23.37,23.046875,47.390625,57.21875,217.79688,338.0625,1101.3281
299.307007,85.6821976,299.307007,0.0000347,0.0000177,938.2,25.01,29.67,22.89,23.32,31.796875,57.828125,65.109375,218.98438,357.10938,1123.9531
299.411346,98.1744461,299.411346,0.0000398,0.0000181,938.15,24.71,27.26,23.18,23.16,49.640625,89.140625,98.03125,269.32812,519.71875,1280.25
296.118103,41.6325874,296.118103,0.0000169,0.00000546,940.45,22.9,26.37,19.55,21.11,66.03125,123.046875,140.10938,371.76562,743.03125,1645.75
296.040405,47.0957375,296.040405,0.0000191,0.00000658,940.83,23.25,26.46,20.66,21.16,61.5,118.015625,140.78125,451.28125,825.2969,2007.2812
298.0849,148.451859,298.0849,0.0000602,0.0000339,940.03,25.06,28.83,20.71,21.03,53.171875,103.140625,122.796875,444.4375,825.71875,2124.5938
300.566925,179.642624,300.566925,0.0000728,0.0000385,939.06,25.87,29.85,20.99,21.22,47.765625,92.609375,110.078125,407.15625,785.4531,2072.5
301.150085,135.705109,301.150085,0.000055,0.0000364,938.83,26.41,30.78,22.97,23.02,43.25,84.09375,100.09375,369.48438,726.25,1944.9844
298.841187,64.6772766,298.841187,0.0000262,0.0000113,939.39,24.92,29.11,23.07,22.97,45.421875,85.71875,100.046875,385.90625,967.7031,2096.5469
297.41568,30.9354801,297.41568,0.0000125,0.0000057,938.95,24.9,28.01,21.65,22.56,60.828125,136.95312,155.89062,542.4531,1414.0938,2911.0938
298.894287,108.465149,298.894287,0.000044,0.0000197,939.86,23.92,27.88,21.88,21.81,70.90625,189.875,227.53125,776.96875,1702.8906,3615.2344
298.36615,79.6066513,298.36615,0.0000323,0.000014,942.7,24.24,27.61,22.16,22.22,74.984375,204.0625,249.14062,968.9844,1857.1719,4030.75
298.782166,87.078186,298.782166,0.0000353,0.0000161,941.96,24.44,27.01,21.85,22.49,74.09375,200.9375,245.90625,1066.2969,1956.4375,4422.9688
300.45401,133.458496,300.45401,0.0000541,0.0000302,938.31,26.56,30.06,23.47,23.43,68.53125,187.35938,230.95312,1031.4531,1957.8438,4596.3438
301.17688,121.23027,301.17688,0.0000492,0.0000276,935.82,27.23,30.71,24.09,24.11,61.328125,169.42188,209.21875,936.4375,1836.7812,4414.0625
302.776794,139.551743,302.776794,0.0000566,0.0000325,934.61,28.34,32.09,24.73,25.23,55.71875,154.48438,190.34375,837.9375,1661.0156,4045.4844
302.118561,161.539246,302.118561,0.0000655,0.0000397,934.44,29.43,33.34,24.8,24.45,50.96875,141,174.1875,760.0781,1485.9375,3645.2188
303.277161,163.67981,303.277161,0.0000664,0.0000378,935.61,28.56,33.23,24.53,24.7,46.703125,128.75,159.01562,693.9531,1341.8125,3288
301.01886,109.423302,301.01886,0.0000444,0.0000243,939.44,27.26,32.08,23.28,24.41,44.578125,124.765625,153.01562,650.0625,1234.2969,3018.0469
