asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
297.632721,297.632721,22.17,20.94,20.59,30.328125,62.328125,73.453125,247.84375,359.6875,1083.9219,1104.2656,1478.375,1815.125,4621.047,4760.75
298.262878,298.262878,24.4,21.99,21.51,28.109375,58.375,70.140625,246.89062,358.0625,1071.1406,1078.2344,1429.1094,1769.5156,4636.5625,4767.0156
300.720764,300.720764,27.1,24.51,23.14,25.359375,52.46875,63.34375,238,354.65625,1090.3281,1090.3906,1398.0312,1701.1562,4582.5312,4702.922
299.041504,299.041504,26.04,24.13,24.18,23.921875,49.171875,59.15625,225.71875,347.65625,1100.7188,1103.8281,1387.2031,1648.0469,4538.4062,4656.203
301.758026,301.758026,28.49,24.92,25.39,23.046875,47.390625,57.21875,217.79688,338.0625,1101.3281,1105.7969,1384.1406,1619.3281,4547.8438,4659.4688
302.716156,302.716156,29.05,25.48,25.33,31.796875,57.828125,65.109375,218.98438,357.10938,1123.9531,1121.1719,1422.9844,1601.9219,4626.3906,4723.5156
303.072235,303.072235,29,26.66,25.47,49.640625,89.140625,98.03125,269.32812,519.71875,1280.25,1240.1719,1631.2188,1630.5781,4763.4375,4841.578
299.693909,299.693909,27.24,24.1,24.25,66.03125,123.046875,140.10938,371.76562,743.03125,1645.75,1565.7812,2224.2344,1947.4219,5457,5471.078
299.292572,299.292572,25.4,22.69,23.26,61.5,118.015625,140.78125,451.28125,825.2969,2007.2812,1958.4688,2879.1094,2770.375,7371.4375,7306.8125
299.822052,299.822052,26.96,23.14,22.63,53.171875,103.140625,122.796875,444.4375,825.71875,2124.5938,2132.5156,3250.1562,3592.5312,10647.219,10528.453
301.601929,301.601929,27.54,24.64,23.74,47.765625,92.609375,110.078125,407.15625,785.4531,2072.5,2106.6094,3218.4688,3948.0312,13178.594,13172.891
302.933014,302.933014,28.75,25.97,24.16,43.25,84.09375,100.09375,369.48438,726.25,1944.9844,1989.7031,3001.3906,3830.9219,13194.922,13309.844
301.614502,301.614502,28.95,25.3,23.08,45.421875,85.71875,100.046875,385.90625,967.7031,2096.5469,2029.3438,2848.4531,3534.9844,12007.797,12149.516
301.665344,301.665344,29.27,25.52,22.98,60.828125,136.95312,155.89062,542.4531,1414.0938,2911.0938,2738.2344,3263.875,3382.2188,10933.516,11042.391
301.447174,301.447174,28.49,26.04,22.94,70.90625,189.875,227.53125,776.96875,1702.8906,3615.2344,3517.625,4248.0312,3796.6406,10769.625,10811.125
300.359497,300.359497,27.27,24.62,23.53,74.984375,204.0625,249.14062,968.9844,1857.1719,4030.75,3985.1406,5074.4062,4720.4688,11677.531,11663.016
301.586456,301.586456,28.31,25.83,24.85,74.09375,200.9375,245.90625,1066.2969,1956.4375,4422.9688,4389.0938,5582.1562,5526.547,13119.609,13093.172
302.935577,302.935577,29.18,25.32,25.14,68.53125,187.35938,230.95312,1031.4531,1957.8438,4596.3438,4625.0938,5912.078,6050.7812,14256,14258.406
303.560608,303.560608,30.34,26.42,25.37,61.328125,169.42188,209.21875,936.4375,1836.7812,4414.0625,4503.8438,5915.5312,6337.5156,14632.9375,14673.75
303.980988,303.980988,31.06,25.9,24.84,55.71875,154.48438,190.34375,837.9375,1661.0156,4045.4844,4158.3125,5588.9062,6277.578,14271.969,14346.781
304.385742,304.385742,31.46,27.15,25.13,50.96875,141,174.1875,760.0781,1485.9375,3645.2188,3755.0781,5108.75,5921.1094,13414.781,13508.859
303.924622,303.924622,31,26.61,24.51,46.703125,128.75,159.01562,693.9531,1341.8125,3288,3382.4219,4609.2344,5422.625,12368.75,12467.047
302.565826,302.565826,29.5,25.12,25.35,44.578125,124.765625,153.01562,650.0625,1234.2969,3018.0469,3089.5,4174.828,4906.9062,11335.703,11428.047
302.418518,302.418518,29.59,25.39,24.5,43.375,119.90625,147,626.375,1170.7969,2852.875,2901.875,3897.4375,4485.2344,10499.4375,10573.406
303.24057,303.24057,30.75,26.37,23.82,40.546875,113.125,139.1875,595.34375,1120.0938,2736.3125,2782.6406,3732.6562,4210.1875,9983.125,10038.125
303.659698,303.659698,31.32,26.38,24.18,39.046875,106.46875,130.625,556.5156,1054.1562,2596.7812,2648.4375,3570.625,4015.5938,9603.25,9652.422
303.458282,303.458282,29.73,25.99,24.93,39.890625,107.484375,131.3125,538.4844,983.3281,2434.1719,2488,3363.1094,3826.2656,9150.078,9204.156
301.446045,301.446045,29.35,25.42,24.57,37.328125,99.8125,123.375,563.7344,931.5156,2284.1719,2332.4531,3138.0312,3597.0938,8572.078,8631.875
302.137573,302.137573,30.24,25.56,22.23,34.40625,91.53125,113.203125,554.9375,909.4844,2179.7344,2215.9688,2947.0625,3363.5469,7960.422,8017.547
302.392456,302.392456,30.98,26.64,22.33,31.875,84.6875,104.734375,524.9531,880.71875,2102.125,2132.6094,2793.1875,3164.4531,7402.3438,7455.7656
303.677734,303.677734,32.44,27.31,22.76,29.75,78.578125,97.28125,489.46875,834.8594,2014.0469,2045.9844,2657.3281,2990.1875,6870.0156,6920.453
304.495575,304.495575,33.94,30.61,22,27.65625,72.546875,89.890625,456.4375,780.2969,1908.3438,1943.2344,2521.1406,2832.8438,6391.953,6436.1406
304.890717,304.890717,34.69,29.97,20.57,25.890625,67.921875,84.0625,428.34375,731.4219,1814.7812,1844.1719,2375.2812,2680.9531,5988.6875,6027.8906
305.115417,305.115417,34.89,30.57,21.13,34.171875,84.15625,100.0625,445.9375,691.6406,1743.6875,1769.9219,2249.5625,2527.875,5622.7812,5660.0938
305.196442,305.196442,35.02,30.79,21.2,62.421875,151.42188,170.3125,610.34375,713.71875,1722.3438,1729.4688,2147.5,2392.5938,5286.9688,5321.953
302.585236,302.585236,30.17,23.83,23.05,80.5625,202.79688,235.46875,851.6719,897.53125,1934.6719,1877.1562,2131.9062,2288.6562,5020.922,5049.7344
298.630585,298.630585,25.09,23.53,22.38,79.953125,205.10938,244.09375,986.71875,1182.0156,2402.2969,2299.7344,2379.6875,2286.9375,5021.2188,5026.1875
302.237183,302.237183,28.42,25.39,23.08,71.375,184.45312,220.70312,944.5,1319.2812,2808.9219,2754.125,2875.0938,2520.9219,5464.125,5443.5156
302.601349,302.601349,30.84,27.56,21.74,63.140625,163.95312,195.9375,853.5156,1264.4688,2841.9844,2865.5,3235.9375,2967.8125,6065.9844,6044.453
302.938141,302.938141,31.84,28.02,20.22,57.875,152.23438,181.15625,854.875,1195.8125,2741.4375,2762.7031,3236.2188,3299.9375,6446.5,6441.6094
302.958191,302.958191,31.4,26.28,21.38,65.75,175.0625,206.125,1110.1406,1249.9062,2851.3594,2822.1875,3186.6875,3327.25,6545.75,6552.0625
