rzsm,cwe,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,runoff
232.101227,1.14E-06,0,288.778076,53.3705177,0,288.778076,0,0,2.16E-05,9.15E-06,15.77,19.36,12.79,11.94,29.898438
232.625839,5.72E-06,0,287.155426,29.9944668,0,287.155426,0,0,1.22E-05,2.22E-06,13.48,15.59,11.29,12.7,28.289062
231.616562,7.28E-06,0,288.327637,58.9251938,0,288.327637,0,0,2.39E-05,5.92E-06,14.52,17.11,12.22,12.04,27.359375
232.344803,1.21E-05,0,287.531799,50.9472504,0,287.531799,0,0,2.07E-05,2.17E-06,13.28,14.62,12.14,12.12,25.5
233.709595,5.22E-06,0,287.697266,30.5201244,0,287.697266,0,0,1.24E-05,2.61E-06,13.5,15.46,10.38,12.99,25.53125
231.839157,5.52E-06,0,289.763611,89.7713089,0,289.763611,0,0,3.64E-05,1.43E-05,16.15,21.2,11.8,12.12,25.867188
233.660156,1.03E-05,0,288.903046,57.671833,0,288.903046,0,0,2.34E-05,4.49E-06,15.13,16.98,13.68,13.57,24.03125
197.175964,3.75E-06,0,292.537933,57.9194641,0,292.537933,0,0,2.35E-05,9.81E-06,17.77,23.29,12.73,13.88,16.1875
198.031723,1.07E-05,0,291.441498,94.3465424,0,291.441498,0,0,3.83E-05,1.10E-05,17.8,25.03,11.75,12.01,15.0625
197.614273,7.68E-07,0,289.085876,80.7844925,0,289.085876,0,0,3.28E-05,1.47E-05,16.55,20.97,11.81,5.83,14.9375
195.898392,2.15E-07,0,292.038239,74.4712677,0,292.038239,0,0,3.02E-05,1.58E-05,19.01,24.14,13.89,10.46,13.9375
194.531281,1.46E-06,0,294.171478,77.7396774,0,294.171478,0,0,3.15E-05,1.58E-05,20.31,27.15,12,13.61,12.65625
192.562103,1.06E-07,0,294.923859,99.8286285,0,294.923859,0,0,4.05E-05,2.00E-05,21.13,26.74,14.56,11.79,11.84375
191.312515,1.32E-06,0,294.979553,71.0067596,0,294.979553,0,0,2.88E-05,1.38E-05,20.55,26.51,13.22,13.81,11.03125
189.932632,5.56E-08,0,295.304565,87.7406006,0,295.304565,0,0,3.56E-05,1.65E-05,21.67,26.07,16.05,13.59,10.21875
189.52121,3.88E-06,0,292.699432,48.4032784,0,292.699432,0,0,1.96E-05,8.13E-06,18.87,23.52,13.8,14,9.625
189.055862,6.55E-07,0,295.334625,66.7168427,0,295.334625,0,0,2.70E-05,1.34E-05,20.76,26.84,15.24,14.83,9.25
188.844711,7.54E-06,0,294.413879,62.3145561,0,294.413879,0,0,2.53E-05,8.84E-06,20.28,25.02,16.61,15.67,9
189.424179,1.04E-05,0,294.451233,63.5237045,0,294.451233,0,0,2.58E-05,7.16E-06,20.35,24.17,17.99,16.62,8.8125
194.054886,1.83E-05,0,294.069397,64.9078522,0,294.069397,0,0,2.63E-05,2.49E-06,19.85,22.89,17.95,18.33,8.90625
212.941696,8.34E-06,0,292.45575,47.901207,0,292.45575,0,0,1.94E-05,3.99E-06,17.63,19.11,16.3,16.46,24.46875
