asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
282.86026,282.86026,8.98,3.39,4.73,5.75,17.625,21.9375,111.875,160.71875,356.34375,356.8125,435.125,475.59375,1033.2812,1035.0938
285.266663,285.266663,11.31,3.3,6.22,5.71875,17.59375,22,110.28125,160.34375,356.625,358.34375,436.28125,477.9375,1057.125,1058.5938
285.316864,285.316864,12.33,8.44,8.04,5.71875,17.5625,22.125,110.28125,160.25,354.28125,357.1875,436.125,478.09375,1077.5625,1079.75
288.828613,288.828613,14.67,9.04,10.43,6.21875,18.8125,22.875,111.375,159.4375,350.96875,354.28125,434.5,476.65625,1089.3125,1092.9062
286.934662,286.934662,11.92,6.62,8.51,6.625,20.40625,24.75,117.46875,162.28125,348.34375,351.28125,432.3125,474.625,1091.9062,1096.875
281.555481,281.555481,6.15,5.74,2.9,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125,351.0625,431.65625,472.8125,1087.8125,1093.9062
280.69635,280.69635,7.04,5.53,2.01,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625,358.625,434.5,472.5625,1082.3125,1088.4688
280.070679,280.070679,5.33,2.86,-0.41,5.8125,18.28125,23.28125,145.5625,191.875,383.3125,375.34375,443.15625,473.9375,1080.625,1086.0625
281.350769,281.350769,6.62,2.98,1.98,5.71875,18.03125,23.4375,137.96875,202.28125,406.25,397.59375,460.28125,478.3125,1087.75,1091.375
280.182404,280.182404,6.01,2.87,2.49,5.59375,17.46875,22.84375,130.75,203.5625,423.25,418.375,485.4375,487.78125,1112.4062,1113.1875
280.355286,280.355286,5.93,2.94,0.7,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625,427.65625,511.34375,505.125,1156.3125,1154.2188
282.35376,282.35376,7.49,2.78,1.32,5.46875,16.96875,21.8125,116.125,189.15625,414.96875,422.65625,525.59375,528.90625,1211.5312,1208.625
279.793976,279.793976,5.66,3.69,3.4,5.4375,16.8125,21.5,110.9375,180.03125,398.0625,408.5,522.9375,553.09375,1264.6562,1262.9688
279.740845,279.740845,5.83,1.75,1.48,5.375,16.6875,21.34375,107.3125,171.28125,379.71875,390.78125,508.3125,568.3125,1302.375,1303.9062
283.038269,283.038269,8.35,2.96,2.91,5.5,17.9375,22.21875,104.90625,163.28125,362.25,372.84375,487.59375,568.21875,1309.375,1315.5
282.285797,282.285797,8.27,3.7,4.16,6.75,21.9375,25.59375,105.5625,157.09375,347.09375,356.53125,465.53125,555.25,1285.5938,1295.375
283.362122,283.362122,10.47,2.84,5.8,11.75,32.8125,35.3125,113.25,155.4375,335.34375,343.03125,445.15625,535,1243.1875,1255.4062
285.877716,285.877716,11.9,7.06,7.8,17.65625,45.90625,50.03125,134.59375,162.125,329.96875,334.1875,428.34375,512.4375,1190.7188,1203.9688
285.387451,285.387451,12.77,7.7,8.14,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625,333.875,417.40625,491.4375,1136.7812,1149.8125
286.34024,286.34024,12.63,7.13,8.6,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875,343.9375,415.65625,473.84375,1088.5,1100.4062
288.59967,288.59967,14.87,7.12,10.07,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625,364.40625,425.0625,461.4375,1050.9375,1060.9688
291.307922,291.307922,17.81,8.21,12.23,29.8125,73.4375,83.28125,350,287.875,424.15625,401.5,446.90625,456.46875,1029,1036.4375
292.06427,292.06427,18.06,12.68,13.6,30.1875,74.625,84.75,419.96875,376.03125,510.96875,472.75,488.90625,462.0625,1026.2188,1030.625
291.826996,291.826996,17.29,11.47,12.02,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875,589.9375,569.4375,484.5625,1045.0625,1046.25
