rzsm,tws,asst,psm,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,runoff
254.955048,882.695435,279.7901,882.675659,18.8786449,279.7901,7.65E-06,3.02E-07,5.58,9.4,2.08,3.47,6.21875,18.8125,22.875,111.375
257.465302,884.951355,275.257416,884.934387,16.4716778,275.257416,6.68E-06,3.58E-08,0.87,2.63,-1.58,-0.67,6.625,20.40625,24.75,117.46875
257.293091,884.783447,274.127045,884.708862,26.9781208,274.127045,1.10E-05,4.10E-07,1.16,5.5,-2.4,-6.94,6.40625,20.34375,25.71875,133.96875
256.615906,884.021973,276.163849,883.896973,31.5725594,276.163849,1.29E-05,4.83E-07,1.68,6.65,-1.34,-4.51,6.03125,19.09375,24.40625,147.03125
257.725281,884.991028,274.196289,884.888306,15.8941622,274.196289,6.51E-06,7.26E-08,-0.65,1.62,-3.7,-3.01,5.8125,18.28125,23.28125,145.5625
257.310303,884.613708,275.051117,884.443298,31.0196323,275.051117,1.28E-05,3.45E-07,0.31,4.26,-4.2,-6.93,5.71875,18.03125,23.4375,137.96875
257.128235,884.487366,273.573853,884.160522,17.1516018,273.573853,7.02E-06,1.86E-07,-1.22,0.48,-2.94,-4.83,5.59375,17.46875,22.84375,130.75
257.264526,884.576111,274.165222,884.206726,26.6371746,274.165222,1.11E-05,2.06E-07,-0.27,1.96,-2.69,-6.03,5.53125,17.15625,22.21875,123.15625
256.507202,883.553833,273.389893,883.333069,22.7349052,273.389893,9.43E-06,3.28E-07,0.56,3.56,-3.76,-8.86,5.46875,16.96875,21.8125,116.125
255.937378,882.682129,273.976593,882.566528,19.3143215,273.976593,7.85E-06,4.54E-07,2.04,5.41,-1.31,-6.54,5.4375,16.8125,21.5,110.9375
255.481232,881.90509,273.874451,881.86438,18.2368851,273.874451,7.44E-06,3.24E-07,1.53,6.72,-1.27,-3.08,5.375,16.6875,21.34375,107.3125
254.997284,881.104675,276.53302,881.097839,19.9822388,276.53302,8.10E-06,5.55E-07,2.86,9.13,-2.99,-1.49,5.5,17.9375,22.21875,104.90625
254.465454,880.244507,278.969147,880.241699,21.4177341,278.969147,8.68E-06,8.07E-07,5.93,11.97,-3,0.22,6.75,21.9375,25.59375,105.5625
253.799545,879.215759,281.559052,879.213318,28.3162403,281.559052,1.15E-05,1.05E-06,7.38,13.97,-0.4,2.37,11.75,32.8125,35.3125,113.25
253.363068,878.387939,279.663513,878.378296,20.6095963,279.663513,8.36E-06,4.99E-07,5.64,11.34,-0.32,2.21,17.65625,45.90625,50.03125,134.59375
252.334824,876.930176,284.278564,876.928467,58.2652473,284.278564,2.36E-05,1.63E-06,7.86,16.62,0.33,0.68,22.15625,53.3125,59.4375,170.5625
250.760773,874.847778,285.289886,874.845825,49.7809334,285.289886,2.02E-05,1.77E-06,10.29,16.76,2.28,1.67,26.34375,61.9375,68.4375,208.8125
250.438705,873.944336,283.271515,873.931763,21.789299,283.271515,8.83E-06,5.48E-07,8.43,13.96,3.81,4.92,29.21875,71.3125,79.40625,266.1875
250.86972,873.80304,284.614258,873.789673,24.7925606,284.614258,1.01E-05,4.16E-07,10.15,14.62,3.59,7.24,29.8125,73.4375,83.28125,350
252.984207,875.461609,282.284515,875.451355,26.3139858,282.284515,1.07E-05,6.27E-07,7.85,14.14,1.96,2.89,30.1875,74.625,84.75,419.96875
253.501053,875.628723,282.497192,875.615051,21.6373196,282.497192,8.77E-06,4.03E-07,7.78,11.82,1.79,5.44,29.4375,72.09375,82.71875,452.34375
256.887054,878.877319,279.214844,878.856201,14.3084888,279.214844,5.80E-06,1.34E-07,4.02,6.39,0.98,2.9,28.5625,68.96875,79.1875,448.125
259.153351,881.668396,277.438416,881.661499,21.5287132,277.438416,8.73E-06,4.52E-07,2.58,7.47,-1.38,-0.6,28.125,69.71875,80.71875,445.375
258.323914,881.316956,279.229095,881.303589,24.8063183,279.229095,1.01E-05,4.63E-07,4.08,8.04,-0.71,0.61,25.5,63.75,75.6875,445.25
259.134674,882.545837,278.175842,882.528931,22.0835648,278.175842,8.95E-06,3.10E-07,2.61,5.76,0.11,0.82,23.34375,58.8125,69.84375,421.5
259.185699,883.138367,277.125458,883.130615,29.0026245,277.125458,1.18E-05,4.91E-07,1.58,6.1,-2.33,-1.76,20.96875,53.1875,64.03125,397.4375
258.946106,883.316467,276.525574,883.308289,29.0574207,276.525574,1.18E-05,2.53E-07,1.53,4.09,-0.63,-1.67,18.6875,47.5,57.46875,370
257.80899,882.518555,274.320068,882.517517,57.336956,274.320068,2.32E-05,7.12E-07,0.73,6.11,-4.72,-11.55,16.65625,42.625,52.125,338.40625
256.126892,880.875549,272.866211,880.875549,28.1049385,272.866211,1.14E-05,5.40E-07,0.66,4.83,-4.64,-11.12,14.6875,37.59375,46.34375,307.40625
255.172318,879.804138,278.166809,879.804016,30.736496,278.166809,1.25E-05,9.37E-07,4.01,9.53,-1.37,-3.26,12.9375,33.1875,40.9375,275.28125
254.370834,878.788879,279.735626,878.788818,24.3723354,279.735626,9.88E-06,9.83E-07,5.99,12.09,-0.85,1.19,12.6875,32.40625,38.6875,246.9375
253.460068,877.598267,283.868286,877.598083,36.0735703,283.868286,1.46E-05,1.77E-06,10.24,16.72,-0.11,4.36,16,38.03125,42.5,229.0625
253.536255,877.349548,286.087006,877.341858,41.4681168,286.087006,1.68E-05,1.20E-06,11.51,15.79,4.63,7.3,17.8125,42.40625,48.5625,231.96875
256.365143,880.082642,281.122559,880.081116,62.8603516,281.122559,2.55E-05,1.16E-06,5.2,9.17,-0.86,-1.93,23.0625,57.78125,63.84375,257.59375
254.827209,878.447388,279.38443,878.445801,32.8771515,279.38443,1.33E-05,8.44E-07,5.19,10.98,-0.49,-3.18,23.71875,60.9375,71.1875,295.8125
253.935043,877.340088,281.396423,877.337463,32.496376,281.396423,1.32E-05,1.12E-06,6.62,12.23,0.1,1.66,21.5625,55.09375,65.28125,304.40625
252.534821,875.644592,285.545319,875.644409,54.5406799,285.545319,2.21E-05,2.56E-06,11.44,17.92,3.14,3.37,19.34375,49.34375,58.53125,285.0625
251.086578,873.805603,287.316345,873.805359,49.1099586,287.316345,1.99E-05,2.48E-06,12.57,19.74,5.28,6.8,17.25,44.75,53.3125,261.71875
249.657791,871.885315,288.81189,871.885071,78.6155014,288.81189,3.19E-05,2.75E-06,13.93,21.81,5.73,3.95,15.3125,40.71875,49.1875,244.8125
247.47226,869.046265,283.84613,869.045959,55.5624084,283.84613,2.25E-05,2.28E-06,11.19,17.05,5.66,-2.33,13.5625,36.84375,45.3125,235.65625
247.272217,868.089722,287.77829,868.085571,67.3325424,287.77829,2.73E-05,1.84E-06,13.44,19.33,6.08,6.05,12.0625,33.375,41.375,226.96875
251.189407,871.3255,280.658051,871.311768,44.3162804,280.658051,1.80E-05,8.54E-07,5.91,10.09,2.53,1.25,11.34375,32.0625,39.28125,213.0625
254.128052,873.982056,279.551208,873.961243,24.3404884,279.551208,9.87E-06,5.00E-07,4.96,7.61,3.18,2.13,15.875,43.46875,48.8125,208.53125
254.993179,874.781921,277.797943,874.779846,41.066925,277.797943,1.66E-05,1.08E-06,4.93,9.73,-0.57,-2.78,16.84375,45.9375,54.71875,223.25
253.569748,873.293274,281.237366,873.289368,46.4425278,281.237366,1.88E-05,1.81E-06,5.15,10.74,0.47,-2.61,15.71875,43.21875,52.15625,232.53125
253.069748,872.603638,279.884583,872.59436,25.9615803,279.884583,1.05E-05,6.68E-07,4.57,8.57,-0.66,0.43,14.125,39,47.5,228.75
251.989487,871.275879,284.748383,871.275513,49.5879288,284.748383,2.01E-05,2.45E-06,9.75,15.67,1.71,1.98,13.78125,37.15625,44.5625,214.625
251.596527,870.566711,284.633972,870.553162,42.2262955,284.633972,1.71E-05,1.61E-06,9.74,14.14,5.86,5.19,13.59375,36.03125,43.125,199.96875
254.989685,873.824463,283.8013,873.803223,26.0978203,283.8013,1.06E-05,5.59E-07,9.12,12.38,5.98,7.25,15.03125,40.59375,47.375,192.6875
254.496292,873.361267,285.232147,873.353088,44.870388,285.232147,1.82E-05,2.33E-06,10.37,15.23,6.2,5.18,14.875,41.5625,50.4375,197.375
