asst,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
281.569733,23.6435204,281.569733,9.59E-06,4.60E-08,9.02,10.91,6.9,3.29,6.625,20.40625,24.75,117.46875,162.28125,348.34375,351.28125
279.220703,36.2920609,279.220703,1.47E-05,6.19E-08,6.82,9.13,5.02,-2.95,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125,351.0625
280.795441,32.3591652,280.795441,1.31E-05,3.77E-07,6.76,9.21,4.71,1.17,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625,358.625
277.443542,11.617362,277.443542,4.71E-06,1.81E-09,4.81,7.13,1.71,2.64,5.8125,18.28125,23.28125,145.5625,191.875,383.3125,375.34375
279.242157,26.6069756,279.242157,1.08E-05,1.67E-07,4.94,8.22,1.74,1.01,5.71875,18.03125,23.4375,137.96875,202.28125,406.25,397.59375
276.505615,19.4370384,276.505615,7.88E-06,6.02E-09,3.79,6.61,0.89,-0.22,5.59375,17.46875,22.84375,130.75,203.5625,423.25,418.375
278.242004,32.2864227,278.242004,1.31E-05,2.55E-07,4.98,8.84,1.1,-1.2,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625,427.65625
279.181427,40.1151161,279.181427,1.63E-05,8.06E-07,6.17,10.44,1.69,-2.96,5.46875,16.96875,21.8125,116.125,189.15625,414.96875,422.65625
278.091431,24.8265438,278.091431,1.01E-05,4.20E-07,4.41,8.3,0.73,0.89,5.4375,16.8125,21.5,110.9375,180.03125,398.0625,408.5
276.549622,18.5702419,276.549622,7.53E-06,5.06E-08,4.37,7.58,0.2,0.64,5.375,16.6875,21.34375,107.3125,171.28125,379.71875,390.78125
279.858643,31.7855015,279.858643,1.29E-05,1.36E-06,5.37,9.59,0.41,1.22,5.5,17.9375,22.21875,104.90625,163.28125,362.25,372.84375
280.62262,28.1261215,280.62262,1.14E-05,1.42E-06,7.14,12.64,0.89,2.71,6.75,21.9375,25.59375,105.5625,157.09375,347.09375,356.53125
281.901581,35.1087112,281.901581,1.42E-05,2.34E-06,9,14.57,2.22,4.35,11.75,32.8125,35.3125,113.25,155.4375,335.34375,343.03125
283.454742,34.0135612,283.454742,1.38E-05,2.17E-06,10.25,14.66,3.89,5.86,17.65625,45.90625,50.03125,134.59375,162.125,329.96875,334.1875
285.159607,38.2190857,285.159607,1.55E-05,2.88E-06,12.69,18.83,7.95,7.94,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625,333.875
287.742676,57.5454636,287.742676,2.33E-05,5.64E-06,13.99,21.75,8.17,7.8,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875,343.9375
286.89502,37.8646355,286.89502,1.54E-05,3.16E-06,13.51,19.02,7.28,9.31,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625,364.40625
289.634277,43.3885155,289.634277,1.76E-05,3.33E-06,16.31,20.61,7.51,10.85,29.8125,73.4375,83.28125,350,287.875,424.15625,401.5
288.616455,49.3945465,288.616455,2.00E-05,3.09E-06,14.92,20.54,10.59,9.43,30.1875,74.625,84.75,419.96875,376.03125,510.96875,472.75
290.022064,56.7731285,290.022064,2.30E-05,4.06E-06,15.63,20.9,11.88,10.74,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875,589.9375
284.086029,24.44874,284.086029,9.91E-06,4.49E-07,10.6,13.4,7.11,6.32,28.5625,68.96875,79.1875,448.125,521.03125,765.34375,724
282.377472,39.9960823,282.377472,1.62E-05,1.63E-06,7.88,11.99,3.44,2.93,28.125,69.71875,80.71875,445.375,548.78125,866.09375,834.875
284.066895,35.648304,284.066895,1.45E-05,9.43E-07,10.31,13.24,4.65,4.93,25.5,63.75,75.6875,445.25,557.4375,955.09375,926.75
283.335815,30.6122246,283.335815,1.24E-05,7.52E-07,9.58,12,7.3,5.29,23.34375,58.8125,69.84375,421.5,548.4375,1008.375,993.46875
282.708466,45.6795731,282.708466,1.85E-05,1.52E-06,8.04,9.9,6.27,1.51,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375,1012.34375
281.931549,18.790659,281.931549,7.62E-06,1.14E-07,8.03,9.12,6.36,3.93,18.6875,47.5,57.46875,370,504.75,983.78125,993.625
280.480652,58.8101921,280.480652,2.38E-05,4.42E-07,7.43,10.75,3.31,-3.2,16.65625,42.625,52.125,338.40625,478.875,942.0625,956.21875
