asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
280.237213,22.6222324,280.237213,9.17E-06,3.71E-09,943.67,7.58,9.61,5.59,2.13,6.625,20.40625,24.75,117.46875,162.28125,348.34375
278.488129,35.053196,278.488129,1.42E-05,1.32E-07,958.04,6.03,9.4,3.56,-2.64,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125
280.341583,37.0338135,280.341583,1.50E-05,5.45E-07,957.61,6.09,9.19,3.15,0.07,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625
276.809814,11.241004,276.809814,4.56E-06,2.88E-10,951.5,3.91,6.31,1.27,1.99,5.8125,18.28125,23.28125,145.5625,191.875,383.3125
278.709351,25.0074844,278.709351,1.01E-05,9.65E-08,955.04,4.12,7.73,1.05,0.55,5.71875,18.03125,23.4375,137.96875,202.28125,406.25
275.882294,21.3007622,275.882294,8.64E-06,3.89E-09,958.94,2.81,6.26,-1.18,-1.71,5.59375,17.46875,22.84375,130.75,203.5625,423.25
277.522064,33.158802,277.522064,1.34E-05,1.96E-07,959.49,4.08,7.92,-0.91,-2.79,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625
278.240997,37.4364014,278.240997,1.52E-05,5.93E-07,960.64,5.02,9.08,0.89,-4.1,5.46875,16.96875,21.8125,116.125,189.15625,414.96875
277.403137,26.2136726,277.403137,1.06E-05,4.69E-07,960.04,3.89,7.94,0.14,-0.67,5.4375,16.8125,21.5,110.9375,180.03125,398.0625
275.609253,19.5742092,275.609253,7.94E-06,1.05E-08,955.21,3.51,6.58,-0.72,0.21,5.375,16.6875,21.34375,107.3125,171.28125,379.71875
278.68103,30.031189,278.68103,1.22E-05,9.72E-07,950.94,4.59,8.46,-0.23,0.71,5.5,17.9375,22.21875,104.90625,163.28125,362.25
279.943481,29.0407429,279.943481,1.18E-05,1.38E-06,950,6.02,11.97,-0.21,1.77,6.75,21.9375,25.59375,105.5625,157.09375,347.09375
281.470367,36.2850876,281.470367,1.47E-05,2.24E-06,949.03,8.71,14.31,1.3,4.06,11.75,32.8125,35.3125,113.25,155.4375,335.34375
282.737854,32.021225,282.737854,1.30E-05,1.64E-06,938.2,9.44,14.14,3.82,5.05,17.65625,45.90625,50.03125,134.59375,162.125,329.96875
284.834564,39.1920204,284.834564,1.59E-05,2.72E-06,937.85,12.04,19.32,6.75,6.27,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625
287.18335,59.5441742,287.18335,2.41E-05,5.23E-06,943.79,13.54,21.43,6.67,6.06,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875
285.953461,34.524662,285.953461,1.40E-05,2.37E-06,944.1,12.83,18.52,6.59,8.79,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625
288.590729,36.6457596,288.590729,1.49E-05,2.28E-06,940.96,15.33,19.36,7.38,10.29,29.8125,73.4375,83.28125,350,287.875,424.15625
