rzsm,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,runoff
201.393509,0.003409697,273.263397,23.472517,1.99E-06,273.263397,3.37E-07,0.511456966,9.85E-06,6.23E-14,-2,2.51,-5.14,-9.91,6.40625,20.34375
200.918823,0.00277194,275.914276,22.2506008,3.98E-06,275.914276,2.59E-08,0.415794551,9.05E-06,2.25E-07,0.42,5.13,-3.97,-6.93,6.03125,19.09375
202.042191,0.003995764,274.550201,18.0022964,0,274.550201,6.94E-08,0.599372685,7.37E-06,4.00E-11,-1.66,0.92,-5.82,-4.26,5.8125,18.28125
201.841583,0.003881161,273.809998,26.961071,2.01E-06,273.809998,4.29E-07,0.582184792,1.14E-05,8.66E-14,-3.69,0.28,-6.9,-9.05,5.71875,18.03125
201.633423,0.003819612,273.830658,17.5326576,0,273.830658,8.38E-08,0.572954416,7.19E-06,7.59E-14,-2.39,-0.19,-7.29,-7.26,5.59375,17.46875
201.765274,0.003519527,273.037323,24.2565174,0,273.037323,2.13E-07,0.527942777,1.00E-05,7.30E-14,-2.12,0.18,-4,-9,5.53125,17.15625
201.173157,0.00215604,273.12439,21.1177864,2.15E-06,273.12439,1.17E-07,0.323415399,8.68E-06,1.74E-08,-1.86,1,-6.55,-11.46,5.46875,16.96875
200.589508,0.00106755,273.649109,20.280201,1.71E-06,273.649109,1.92E-08,0.160137519,8.24E-06,1.20E-07,-0.35,2.83,-3.07,-8.48,5.4375,16.8125
200.092896,0.000469024,273.990326,17.9166126,8.48E-07,273.990326,8.98E-09,0.070355915,7.27E-06,1.15E-07,0.64,5.09,-3.05,-4.44,5.375,16.6875
199.557983,0.000185105,275.648743,20.1926155,3.95E-07,275.648743,3.66E-10,0.027766679,8.19E-06,3.99E-07,2.68,8.39,-2.57,-2.71,5.5,17.9375
198.948257,2.70E-05,279.037445,23.5233784,1.09E-07,279.037445,7.35E-11,0.004056761,9.54E-06,8.90E-07,4.89,11.3,-1.8,-0.84,6.75,21.9375
198.278412,0,280.150726,25.8993053,0,280.150726,0,0,1.05E-05,1.15E-06,6.32,13.17,-0.62,0.44,11.75,32.8125
197.804932,0,280.070953,20.7694969,0,280.070953,0,0,8.42E-06,6.71E-07,5.97,11.45,0.26,1.43,17.65625,45.90625
197.126511,0,282.755463,38.7615738,0,282.755463,0,0,1.57E-05,1.27E-06,6.53,13.96,0.37,-1.03,22.15625,53.3125
196.196945,0,283.465546,35.2412415,0,283.465546,0,0,1.43E-05,1.86E-06,8.07,15.22,0.07,-0.42,26.34375,61.9375
196.237244,0,282.059906,18.7677803,0,282.059906,0,0,7.61E-06,5.33E-07,6.67,13.03,0.48,2.87,29.21875,71.3125
196.40419,0,284.522369,22.8401051,0,284.522369,0,0,9.26E-06,6.72E-07,9.27,13.72,0.58,5.82,29.8125,73.4375
198.649979,0,279.71991,19.5188675,0,279.71991,0,0,7.91E-06,2.24E-07,4.73,10.69,-1.79,1.26,30.1875,74.625
198.825699,0,283.600739,30.4125385,0,283.600739,0,0,1.23E-05,7.42E-07,6.49,12.05,-1.43,3.03,29.4375,72.09375
201.100632,0,279.023773,25.9671154,0,279.023773,0,0,1.05E-05,5.00E-08,2.47,5.82,-0.24,-0.23,28.5625,68.96875
202.819382,0,278.352051,23.7590294,0,278.352051,0,0,9.63E-06,3.63E-07,1.81,6.48,-2.53,-2,28.125,69.71875
201.961441,0,280.195679,28.7800903,0,280.195679,0,0,1.17E-05,4.42E-07,2.87,6.97,-1.42,-1.57,25.5,63.75
202.40799,0,277.995544,28.6778927,0,277.995544,0,0,1.16E-05,1.10E-07,0.8,5.37,-2.2,-3.25,23.34375,58.8125
202.468399,0,278.294098,23.3250103,0,278.294098,0,0,9.46E-06,1.84E-07,0.45,4.62,-2.87,-3.13,20.96875,53.1875
202.215408,8.70E-07,277.583649,28.4453678,3.39E-08,277.583649,0,0.000130544,1.15E-05,5.36E-08,0.66,3.38,-2.76,-2.64,18.6875,47.5
201.45462,4.76E-09,272.679291,33.4580154,0,272.679291,0,7.14E-07,1.36E-05,8.28E-14,-3.29,1.68,-9.08,-13.64,16.65625,42.625
200.225906,0,273.432343,24.6324902,0,273.432343,0,0,9.99E-06,2.15E-07,-1.66,2.42,-6.64,-13.69,14.6875,37.59375
