rzsm,sd,asst,lhnf,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,runoff
200.04599,0.000450597,273.763794,29.1564255,273.763794,4.94E-08,0.067589626,1.19E-05,3.33E-07,-0.75,3.79,-3.9,-8.86,6.40625,20.34375,25.71875
199.28212,0.001131018,275.634552,26.2920418,275.634552,9.65E-08,0.169653311,1.08E-05,4.05E-07,1.09,5.73,-2.98,-6.11,6.03125,19.09375,24.40625
200.192947,0.003795796,274.104553,17.1278439,274.104553,5.90E-07,0.569373846,7.53E-06,5.01E-08,-0.67,1.87,-5.19,-3.63,5.8125,18.28125,23.28125
199.821548,0.003366472,274.10318,32.0115662,274.10318,1.21E-06,0.504976928,1.42E-05,2.84E-07,-2.93,1.53,-7.14,-8.41,5.71875,18.03125,23.4375
199.627243,0.003480397,273.335358,15.8672018,273.335358,1.18E-07,0.522067904,6.55E-06,1.41E-07,-1.69,0.22,-5.81,-6.45,5.59375,17.46875,22.84375
199.802994,0.003176886,273.911285,29.3820267,273.911285,5.64E-07,0.476542383,1.25E-05,1.65E-07,-1.31,1.24,-4.03,-8.08,5.53125,17.15625,22.21875
199.071304,0.001948537,272.945282,21.6110973,272.945282,2.75E-07,0.292287052,9.04E-06,2.52E-07,-0.71,2.08,-5.65,-10.63,5.46875,16.96875,21.8125
198.554291,0.001063916,273.334595,17.5479927,273.334595,3.54E-08,0.159591317,7.15E-06,3.50E-07,0.85,3.55,-1.96,-7.96,5.4375,16.8125,21.5
198.166428,0.000443904,273.548218,16.353569,273.548218,6.99E-08,0.066587269,6.70E-06,3.02E-07,1.13,6.8,-2.56,-4.1,5.375,16.6875,21.34375
197.754227,0.000149349,275.841858,17.0737667,275.841858,1.67E-09,0.022402963,6.92E-06,4.67E-07,2.81,8.91,-2.52,-2.15,5.5,17.9375,22.21875
197.302399,2.23E-05,278.878998,19.3424606,278.878998,3.68E-10,0.003349612,7.84E-06,7.37E-07,5.64,11.29,-2.14,-0.13,6.75,21.9375,25.59375
196.719376,0,280.802124,24.0402374,280.802124,0,0,9.75E-06,9.57E-07,6.56,13.59,0.71,1.19,11.75,32.8125,35.3125
196.386246,0,279.213196,17.4612331,279.213196,0,0,7.08E-06,5.93E-07,5.79,11.19,-0.15,1.78,17.65625,45.90625,50.03125
195.505219,0,283.613159,51.8704567,283.613159,0,0,2.10E-05,1.57E-06,7.18,15.08,0.59,-0.49,22.15625,53.3125,59.4375
194.209793,0,284.610107,41.9578171,284.610107,0,0,1.70E-05,1.67E-06,8.97,15.81,0.95,0.07,26.34375,61.9375,68.4375
194.01384,0,282.747559,18.7913456,282.747559,0,0,7.62E-06,6.01E-07,7.78,13.99,2.26,3.75,29.21875,71.3125,79.40625
194.519363,0,284.110199,20.3626499,284.110199,0,0,8.26E-06,5.77E-07,10.11,13.81,2.22,6.56,29.8125,73.4375,83.28125
196.296799,0,281.594116,31.3686619,281.594116,0,0,1.27E-05,6.54E-07,5.89,11.94,-0.37,1.49,30.1875,74.625,84.75
196.648224,0,282.548615,23.5907516,282.548615,0,0,9.56E-06,5.17E-07,7.46,12.86,-0.26,3.6,29.4375,72.09375,82.71875
199.584457,0,278.844086,21.2235069,278.844086,0,0,8.60E-06,2.02E-07,3.04,6.25,0.25,0.55,28.5625,68.96875,79.1875
201.57309,0,277.23526,20.1146622,277.23526,0,0,8.16E-06,4.44E-07,2.31,7.29,-2.19,-1.51,28.125,69.71875,80.71875
200.860062,0,278.812439,24.4043999,278.812439,0,0,9.89E-06,3.93E-07,3.44,7.36,-0.73,-1.06,25.5,63.75,75.6875
201.506943,0,277.55899,25.6462994,277.55899,0,0,1.04E-05,2.83E-07,1.64,6.23,-1.31,-2.2,23.34375,58.8125,69.84375
201.556213,0,276.882477,25.6106281,276.882477,0,0,1.04E-05,3.61E-07,1.52,6.33,-1.99,-2.56,20.96875,53.1875,64.03125
201.356094,1.87E-07,276.142426,31.5717392,276.142426,0,2.81E-05,1.28E-05,2.30E-07,1.45,3.65,-1.61,-2.33,18.6875,47.5,57.46875
200.113495,4.50E-08,273.220673,53.887619,273.220673,0,6.74E-06,2.18E-05,5.16E-07,-1.3,3.63,-5.79,-13.37,16.65625,42.625,52.125
198.537064,0,272.353546,25.6494312,272.353546,0,0,1.04E-05,4.13E-07,-0.37,3.57,-5.63,-13.2,14.6875,37.59375,46.34375
197.699829,0,277.167084,25.0863953,277.167084,0,0,1.02E-05,7.90E-07,3.08,8.88,-1.93,-4.42,12.9375,33.1875,40.9375
197.054398,0,279.703888,21.3484955,279.703888,0,0,8.66E-06,9.01E-07,5.88,11.96,-0.8,0.66,12.6875,32.40625,38.6875
196.261719,0,283.573242,30.4766674,283.573242,0,0,1.24E-05,1.59E-06,9.48,16.39,0.08,3.28,16,38.03125,42.5
196.623581,0,285.32196,38.4866371,285.32196,0,0,1.56E-05,1.20E-06,10.95,15.88,2.73,6.62,17.8125,42.40625,48.5625
199.708008,0,280.335571,61.9526596,280.335571,0,0,2.51E-05,1.09E-06,3.96,8.26,-1.8,-3.14,23.0625,57.78125,63.84375
198.169647,0,278.750275,29.2597179,278.750275,0,0,1.19E-05,7.91E-07,3.63,9.76,-1.28,-4.72,23.71875,60.9375,71.1875
197.356232,0,280.680176,26.7361736,280.680176,0,0,1.08E-05,1.02E-06,6.85,11.96,-0.68,0.91,21.5625,55.09375,65.28125
196.102951,0,284.93692,46.9256668,284.93692,0,0,1.90E-05,2.56E-06,10.66,17.25,1.47,2.32,19.34375,49.34375,58.53125
194.861404,0,286.885925,41.0029526,286.885925,0,0,1.66E-05,2.54E-06,12.39,19.72,6.26,5.94,17.25,44.75,53.3125
193.518921,0,288.442871,76.6962891,288.442871,0,0,3.11E-05,2.97E-06,12.98,21.26,4.01,2.82,15.3125,40.71875,49.1875
191.382202,0,283.758545,52.7679443,283.758545,0,0,2.14E-05,2.39E-06,8.55,15.39,2.93,-4.02,13.5625,36.84375,45.3125
191.188919,0,287.255981,64.7918167,287.255981,0,0,2.63E-05,2.05E-06,12.89,17.9,4.35,5.17,12.0625,33.375,41.375
194.536728,0,280.151886,51.5895844,280.151886,0,0,2.09E-05,9.41E-07,4.77,9.71,1.66,-0.1,11.34375,32.0625,39.28125
196.987381,0,279.719788,23.5791721,279.719788,0,0,9.56E-06,5.43E-07,5.47,8.19,2.58,1.65,15.875,43.46875,48.8125
