asst,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,runoff
291.802521,291.802521,2.22E-05,7.96E-06,18.72,23.32,14,15.06,28.882812,81.94531,100.171875,511.26562,735.3047,1706.5703,1725.4922,1994.8516
292.40033,292.40033,2.33E-05,7.71E-06,19.42,24.29,14.82,14.88,26.296875,74.0625,90.546875,469.95312,685.6719,1627.6562,1653.6016,1937.0625
294.272217,294.272217,2.47E-05,9.76E-06,20.7,25.25,15.59,16.15,23.8125,67.1875,82.3125,429.52344,636.2969,1537.7266,1566.5156,1846.0625
292.385437,292.385437,1.47E-05,4.13E-06,20.1,23.25,17,17.28,21.421875,60.5,74.328125,391.77344,587.0703,1438.8516,1471.0234,1744.5469
293.301117,293.301117,2.38E-05,8.57E-06,20.15,24.76,15.39,16.42,19.789062,55.820312,68.203125,357.35156,539.125,1332.5312,1367.2031,1637.0781
293.621216,293.621216,2.40E-05,9.05E-06,20.5,25.04,16.74,16.74,19.382812,53.382812,64.703125,330.78906,497.35938,1231.1484,1264.2812,1526.4609
293.334625,293.334625,2.96E-05,9.41E-06,21.02,26.07,16.13,15.2,18.101562,49.976562,61.101562,311.21875,464.82812,1146.8203,1174.7344,1422.0391
291.766083,291.766083,3.37E-05,1.11E-05,19.95,25.18,16.13,12.2,17.007812,47.5625,58.164062,303.34375,454.64062,1092.9141,1110.3203,1333.9531
292.600952,292.600952,3.17E-05,9.86E-06,19.71,23.44,17.03,12.02,15.6171875,44.351562,54.828125,307.28906,453.60938,1080.5469,1085.7422,1272.7578
290.141235,290.141235,2.04E-05,2.33E-06,16.97,19.79,11.62,11.39,14.21875,41,50.84375,304.70312,441.96094,1064.1875,1073.5625,1243.1016
284.482513,284.482513,5.61E-06,8.05E-08,11.25,11.82,10.69,9.28,17.195312,49.671875,58.476562,309.8203,440.03906,1036.9062,1047.9375,1222.3672
282.926056,282.926056,4.80E-06,1.34E-08,10.19,11.44,8.97,8.45,18.007812,54.359375,66.265625,340.1875,463.42188,1049.8984,1046.625,1211
284.09552,284.09552,1.06E-05,4.79E-07,10.35,12.29,9,8.11,17.515625,53.328125,65.640625,356.60938,500.89062,1123.6719,1104.3516,1255.6797
283.693298,283.693298,1.15E-05,1.06E-06,10.4,12.82,8.44,7.4,18.265625,54,65.25781,350.875,525.0156,1192.5078,1179.9219,1357.5625
284.301086,284.301086,1.25E-05,2.29E-06,12.3,15.6,7.26,7.87,18.226562,53.359375,64.765625,344.83594,526.8047,1212.9062,1215.0547,1439.0391
285.129242,285.129242,1.44E-05,2.63E-06,12.54,16.31,7.92,8.49,17.328125,50.054688,61.007812,334.48438,511.07812,1194.5391,1207.4922,1461.75
287.54129,287.54129,1.97E-05,4.30E-06,14.9,19.28,8.43,9.37,16.070312,46.171875,56.484375,313.96094,488.83594,1149.1797,1169.5078,1437.125
287.08609,287.08609,1.09E-05,9.51E-07,13.87,14.89,12.79,11,15,43.085938,52.773438,292.58594,462.14062,1088.4609,1113.0547,1383.8125
286.553894,286.553894,1.22E-05,2.18E-06,14.17,18.32,10.58,10.47,15.1875,43.648438,52.820312,277.6953,435.5,1023.3125,1048.7031,1315.5156
286.879547,286.879547,1.65E-05,4.38E-06,13.94,18.5,9.12,10.19,14.265625,41.335938,51.0625,266.02344,411.32812,964.6797,987.5781,1243.5547
285.674561,285.674561,1.31E-05,3.21E-06,13.62,18.6,8.47,10.17,12.9296875,37.75,46.757812,249.35938,387.0547,913.3906,934.16406,1175.3359
286.337646,286.337646,1.39E-05,3.33E-06,14.36,19.26,9.27,10.06,12.375,35.945312,44.09375,232.53125,362.4453,864.46875,884.7422,1111.2422
